id_func;data_entrada;hora_entrada;data_saida;hora_saida;intervalo;horas_trab;horas_prev;horas_extra;competencia
1001;02/01/2023;07:47;02/04/2023;17:59;01:00;09:11;08:00;01:11;01/2023
1001;03/01/2023;07:47;03/04/2023;18:05;01:00;09:17;08:00;01:17;01/2023
1001;04/01/2023;07:49;04/04/2023;18:09;01:00;09:19;08:00;01:19;01/2023
1001;05/01/2023;08:06;05/04/2023;17:58;01:00;08:51;08:00;00:51;01/2023
1001;06/01/2023;07:56;06/04/2023;18:03;01:00;09:07;08:00;01:07;01/2023
1001;09/01/2023;08:02;09/04/2023;18:07;01:00;09:04;08:00;01:04;01/2023
1001;10/01/2023;07:53;10/04/2023;18:05;01:00;09:11;08:00;01:11;01/2023
1001;11/01/2023;07:56;11/04/2023;18:08;01:00;09:12;08:00;01:12;01/2023
1001;12/01/2023;08:09;12/04/2023;17:56;01:00;08:46;08:00;00:46;01/2023
1001;13/01/2023;07:55;13/04/2023;18:00;01:00;09:04;08:00;01:04;01/2023
1001;16/01/2023;08:05;16/04/2023;18:03;01:00;08:57;08:00;00:57;01/2023
1001;17/01/2023;07:55;17/04/2023;18:01;01:00;09:06;08:00;01:06;01/2023
1001;18/01/2023;07:50;18/04/2023;17:55;01:00;09:05;08:00;01:05;01/2023
1001;19/01/2023;07:54;19/04/2023;17:58;01:00;09:04;08:00;01:04;01/2023
1001;20/01/2023;07:57;20/04/2023;18:05;01:00;09:07;08:00;01:07;01/2023
1001;23/01/2023;08:05;23/04/2023;18:02;01:00;08:57;08:00;00:57;01/2023
1001;24/01/2023;07:47;24/04/2023;18:07;01:00;09:20;08:00;01:20;01/2023
1001;25/01/2023;08:06;25/04/2023;17:55;01:00;08:48;08:00;00:48;01/2023
1001;26/01/2023;07:56;26/04/2023;17:55;01:00;08:58;08:00;00:58;01/2023
1001;27/01/2023;08:07;27/04/2023;17:56;01:00;08:49;08:00;00:49;01/2023
1001;30/01/2023;08:04;30/04/2023;18:03;01:00;08:59;08:00;00:59;01/2023
1001;31/01/2023;07:47;02/04/2023;18:05;01:00;09:18;08:00;01:18;01/2023
1001;01/02/2023;07:47;03/04/2023;18:04;01:00;09:16;08:00;01:16;02/2023
1001;02/02/2023;07:49;04/04/2023;17:55;01:00;09:06;08:00;01:06;02/2023
1001;03/02/2023;08:06;05/04/2023;18:01;01:00;08:55;08:00;00:55;02/2023
1001;06/02/2023;08:04;08/04/2023;18:09;01:00;09:05;08:00;01:05;02/2023
1001;07/02/2023;08:02;09/04/2023;17:55;01:00;08:52;08:00;00:52;02/2023
1001;08/02/2023;07:53;10/04/2023;18:04;01:00;09:10;08:00;01:10;02/2023
1001;09/02/2023;07:56;11/04/2023;17:59;01:00;09:03;08:00;01:03;02/2023
1001;10/02/2023;08:09;12/04/2023;18:09;01:00;09:00;08:00;01:00;02/2023
1001;13/02/2023;08:02;15/04/2023;17:57;01:00;08:55;08:00;00:55;02/2023
1001;14/02/2023;08:05;16/04/2023;17:55;01:00;08:49;08:00;00:49;02/2023
1001;15/02/2023;07:55;17/04/2023;18:07;01:00;09:12;08:00;01:12;02/2023
1001;16/02/2023;07:50;18/04/2023;18:06;01:00;09:15;08:00;01:15;02/2023
1001;17/02/2023;07:54;19/04/2023;18:05;01:00;09:11;08:00;01:11;02/2023
1001;20/02/2023;08:01;22/04/2023;18:07;01:00;09:05;08:00;01:05;02/2023
